epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,1.2519586722990037,0.7649294965544676,77.46666666666667,1.0,0.7756000000000001
1,1.2625658155431265,0.7793101926793752,76.90666666666667,1.0,0.7676
2,1.1937756204426444,0.7564313632871955,78.25333333333333,1.0,0.7824
3,1.2284162779746872,0.7730549626030477,76.86666666666666,1.0,0.7676
4,1.2556172852476646,0.8093244670808387,74.98666666666666,1.0,0.7486666666666666
5,1.2565397939734635,0.8027092797441621,75.81333333333333,1.0,0.7569333333333335
6,1.2332370666100505,0.7950049085127269,76.52,1.0,0.7638666666666665
7,1.2104492741106174,0.7756915416384578,77.2,1.0,0.7720000000000001
8,1.2877648782514717,0.8287287256314946,74.8,1.0,0.7480000000000001
9,1.2396782557341735,0.7830740289831121,76.41333333333333,1.0,0.7630666666666667
10,1.199974132227085,0.7668623148808418,77.40000000000002,1.0,0.7733333333333333
11,1.2844905362654038,0.7878165404834383,76.62666666666667,1.0,0.7647999999999997
12,1.2217045905005697,0.7975510055738575,76.55999999999999,1.0,0.7646666666666664
13,1.225583189760778,0.8061607662862684,75.56,1.0,0.7557333333333334
14,1.2337916739245036,0.7815348588822633,77.2,1.0,0.772933333333333
15,1.2138708397278974,0.7851262497892232,76.56,1.0,0.7645333333333333
16,1.2375139406727211,0.7973075880511061,75.88000000000001,1.0,0.7578666666666666
17,1.1888842549517902,0.7776926845599833,77.21333333333332,1.0,0.7713333333333331
18,1.1878418227020382,0.7973153307903407,76.41333333333333,1.0,0.7630666666666669
19,1.255898871188372,0.7760043666943,77.12,1.0,0.7698666666666665
20,1.201976169261754,0.7996561859471494,76.05333333333333,1.0,0.7585333333333331
21,1.219573391510125,0.7990921043035643,75.82666666666668,1.0,0.7557333333333334
22,1.2560283224276028,0.7739082137431555,77.55999999999999,1.0,0.7758666666666667
23,1.246501603328427,0.7855759044508414,76.72,1.0,0.7661333333333334
24,1.204942211249323,0.8416077071769243,74.94666666666666,1.0,0.748533333333333
25,1.2332532784836612,0.7871609695643442,76.94666666666667,1.0,0.7692
26,1.2167004143217213,0.8067560901067,75.29333333333334,1.0,0.7506666666666668
27,1.2645377422742226,0.8029526540621339,76.26666666666667,1.0,0.7629333333333335
28,1.2488511436523457,0.8392493671900658,74.38666666666667,1.0,0.7432000000000001
29,1.1398050729507176,0.7655113339085808,77.61333333333333,1.0,0.7761333333333333
