epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,11.45600597618954,7.39620722359929,53.6,0.7796000000000001,0.536
1,11.640646999154571,7.142795659152832,54.69333333333334,0.7652000000000001,0.5469333333333334
2,11.135168340595484,7.080956589627011,53.37333333333334,0.7663999999999999,0.5337333333333332
3,11.302986406694467,7.264015122516815,53.38666666666665,0.7644000000000001,0.5338666666666667
4,11.718622849027108,7.569018534426771,52.906666666666666,0.7495999999999999,0.5290666666666667
5,11.30005686136494,7.313187533429471,52.213333333333345,0.7647999999999999,0.5221333333333332
6,11.528739205160212,7.156420583322631,52.906666666666666,0.7644,0.5290666666666667
7,10.94471365269924,7.13872661068508,52.906666666666666,0.7472000000000001,0.5290666666666666
8,11.804227703806555,7.714294983275026,50.53333333333333,0.7351999999999999,0.5053333333333334
9,11.133384484995206,7.4811398432118175,51.85333333333334,0.7432,0.5185333333333333
10,10.669709965047193,7.227030745814053,55.26666666666667,0.7824,0.5526666666666666
11,11.535707331332164,7.081838961830466,53.05333333333334,0.7652,0.5305333333333333
12,11.56736183734793,7.452579593834278,52.66666666666666,0.7719999999999999,0.5266666666666666
13,11.076339879593306,7.277164007203809,53.81333333333334,0.7852000000000001,0.5381333333333334
14,11.786746453126016,7.424837179738983,53.8,0.7832000000000001,0.5379999999999999
15,11.135602556021007,7.212238435801171,52.56,0.7636,0.5256
16,11.363506303670858,7.377020595592115,53.58666666666665,0.7612000000000001,0.5358666666666666
17,11.458305110409444,7.424229481493281,53.14666666666667,0.778,0.5314666666666668
18,11.021210788554585,7.576624826469754,52.12,0.7691999999999999,0.5212
19,11.470213300820642,6.951654794737241,54.60000000000001,0.7872,0.546
20,11.111741766220836,7.197857628349877,52.719999999999985,0.7535999999999998,0.5272
21,11.403554469386512,7.253569119849909,53.68,0.7740000000000002,0.5367999999999999
22,11.137095211390628,7.210126725753883,54.74666666666668,0.7736,0.5474666666666665
23,11.053246329506608,7.464291588561367,52.32,0.7671999999999999,0.5232000000000001
24,11.492833396345015,7.7290733519354795,52.18666666666668,0.7547999999999999,0.5218666666666667
25,11.368152582758983,7.407378641922363,52.46666666666667,0.7612000000000001,0.5246666666666665
26,11.140223537324738,7.24696550234132,52.81333333333333,0.7535999999999998,0.5281333333333335
27,11.134479579155677,7.314021894984615,53.4,0.7700000000000001,0.534
28,11.273275297746748,7.7054366405242884,51.87999999999999,0.7604,0.5188
29,10.64398942629359,7.078038400729444,53.53333333333334,0.7559999999999999,0.5353333333333333
