epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,1.3332185680690178,1.0557164725143173,65.17333333333333,1.0,0.6517333333333333
1,1.3355488161746927,1.0298684895503312,66.89333333333335,1.0,0.6689333333333335
2,1.3204264280249252,1.0286283117577997,67.01333333333334,1.0,0.6701333333333332
3,1.3188056867167999,1.0477783312599909,64.45333333333333,1.0,0.6445333333333333
4,1.3262867424483011,1.0634657458667227,64.30666666666667,1.0,0.6430666666666667
5,1.3366415313974962,1.0687201029415982,63.54666666666667,1.0,0.6354666666666666
6,1.3156785788527612,1.0493170173394752,65.11999999999999,1.0,0.6512
7,1.3253885963539782,1.0400469714885896,66.38666666666667,1.0,0.6638666666666667
8,1.3437537319894661,1.081113623366726,63.86666666666667,1.0,0.6386666666666666
9,1.324013760950433,1.0486748469707934,65.28000000000002,1.0,0.6528
10,1.329008384840959,1.0247618117252182,66.33333333333334,1.0,0.6633333333333333
11,1.3444743016835417,1.053635308751876,64.61333333333334,1.0,0.6461333333333331
12,1.326515634776809,1.062015212670634,63.86666666666668,1.0,0.6386666666666667
13,1.3335041591426864,1.0745178288363144,63.62666666666667,1.0,0.6362666666666666
14,1.3266631593480909,1.0408759233014837,65.46666666666667,1.0,0.6546666666666667
15,1.325895989397473,1.0404119119720683,66.05333333333333,1.0,0.6605333333333333
16,1.322702288629065,1.059320666739475,64.38666666666668,1.0,0.6438666666666667
17,1.3086286844513237,1.0380956711254181,66.04,1.0,0.6604000000000001
18,1.3067987541105666,1.0562841260621953,64.62666666666667,1.0,0.6462666666666667
19,1.323477585255076,1.0435243399887995,66.09333333333333,1.0,0.6609333333333334
20,1.319754335694458,1.057549723564039,65.25333333333333,1.0,0.6525333333333333
21,1.3264846730117172,1.0605557602219406,64.57333333333334,1.0,0.6457333333333334
22,1.341636592503543,1.0375401913865245,66.27999999999999,1.0,0.6628000000000001
23,1.3167993514397145,1.0513836930631293,65.33333333333334,1.0,0.6533333333333333
24,1.3175212416170696,1.0794438582322554,63.0,1.0,0.63
25,1.3221702206169053,1.0513892618875138,65.37333333333333,1.0,0.6537333333333334
26,1.3256837041462737,1.0639956387389402,64.67999999999999,1.0,0.6468
27,1.337829202140493,1.042669925215849,65.72,1.0,0.6571999999999999
28,1.3230820988050538,1.073924144610991,64.06666666666666,1.0,0.6406666666666667
29,1.298027947026724,1.048021666640077,65.48,1.0,0.6548
