epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,1.2307911038398742,1.169373912215233,52.50666666666667,0.5444,0.5250666666666668
1,1.1274073845148087,1.1750794965028764,52.57333333333333,0.5364,0.5257333333333333
2,1.0742710441350938,1.1532597506046296,52.13333333333333,0.5388,0.5213333333333333
3,1.049181825518608,1.1452811020612716,50.89333333333334,0.5332,0.5089333333333333
4,1.0168613785505294,1.1121412426233293,54.82666666666666,0.5632,0.5482666666666667
5,0.9967367368936538,1.1445699220895766,50.6,0.5228,0.5059999999999999
6,0.9966927933692932,1.0939783734083175,48.76000000000001,0.49800000000000005,0.4876
7,0.9741339612007142,1.1432221728563308,50.21333333333334,0.52,0.5021333333333334
8,0.9737877601385116,1.0998091608285905,51.93333333333334,0.5316000000000001,0.5193333333333334
9,0.9585780215263366,1.1485979551076888,49.54666666666666,0.5084,0.4954666666666666
10,0.9810608929395676,1.122760173678398,49.85333333333334,0.5236,0.49853333333333333
11,0.9519171291589736,1.166057725548744,48.56,0.5036,0.48560000000000003
12,0.9443250477313996,1.1601860219240188,50.92,0.5252,0.5092
13,0.9488300251960754,1.0843459975719452,55.25333333333334,0.5596,0.5525333333333332
14,0.9176444494724274,1.1439446091651917,49.50666666666666,0.5087999999999999,0.49506666666666665
15,0.9388052183389664,1.1252594357728958,51.57333333333333,0.5292,0.5157333333333334
16,0.912103306055069,1.0926087242364884,53.13333333333333,0.5412,0.5313333333333334
17,0.912515469789505,1.1449851042032242,48.786666666666655,0.5056,0.4878666666666666
18,0.9165809035301209,1.1151217901706696,51.89333333333333,0.5416000000000001,0.5189333333333334
19,0.9013897234201431,1.1116961598396302,49.84,0.5156,0.49839999999999995
20,0.8950193482637405,1.1147509717941284,50.54666666666667,0.5204000000000001,0.5054666666666668
21,0.9065215176343918,1.1320157557725907,52.92,0.546,0.5291999999999999
22,0.9122617757320404,1.0991951340436936,52.99999999999999,0.5532,0.53
23,0.8744988524913788,1.1433402252197267,50.57333333333334,0.5196000000000001,0.5057333333333334
24,0.8943956267833709,1.0764537256956102,52.45333333333333,0.5364000000000001,0.5245333333333333
25,0.8656570529937744,1.1031179010868073,53.85333333333333,0.5608000000000001,0.5385333333333332
26,0.8779368108510971,1.106557161808014,54.45333333333333,0.5656,0.5445333333333334
27,0.8739270532131195,1.1479151064157487,50.73333333333335,0.506,0.5073333333333333
28,0.8757278805971146,1.1588995140790939,49.6,0.5192,0.496
29,0.8823719090223312,1.0966583210229874,52.38666666666666,0.5364,0.5238666666666666
