epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,22.56633408863107,14.236436349456962,59.81333333333334,1.0,0.5981333333333333
1,22.685387222732384,14.927972462448254,57.86666666666667,0.9996,0.5786666666666667
2,22.715186139353936,14.643082281930756,58.82666666666667,1.0,0.5882666666666667
3,22.329968485038584,14.306537795965442,59.84,0.9996,0.5984
4,22.982289043827965,15.03191833316114,57.58666666666667,1.0,0.5758666666666666
5,22.313453522696673,15.332738618165513,56.81333333333334,1.0,0.5681333333333334
6,22.559094402590482,14.390431952155964,59.31999999999999,1.0,0.5932000000000001
7,22.33101849457735,14.727822444192027,58.42666666666666,0.9996,0.5842666666666667
8,23.391573757575944,15.366755263383716,56.45333333333334,1.0,0.5645333333333333
9,22.741002445608906,15.263236020986582,56.94666666666668,1.0,0.5694666666666666
10,21.99527385432777,14.491859325315474,59.26666666666667,1.0,0.5926666666666667
11,22.64389099854573,14.75448365708453,58.42666666666666,1.0,0.5842666666666667
12,22.679330690173366,15.440451043174544,56.58666666666666,1.0,0.5658666666666667
13,22.990926387617865,15.009280304556352,57.56,1.0,0.5756
14,22.15136111577559,14.572995807595223,58.93333333333332,1.0,0.5893333333333334
15,22.422741655894768,14.853435482766008,58.18666666666666,1.0,0.5818666666666666
16,22.66293357243135,14.8758130418564,57.93333333333334,1.0,0.5793333333333333
17,22.05347559745185,14.588732257907125,58.81333333333334,1.0,0.5881333333333333
18,22.412503743775428,14.544741023204518,58.96,1.0,0.5896
19,22.66012057562757,14.84383858045021,58.17333333333333,0.9996,0.5817333333333334
20,22.792284516205946,15.026338258466643,57.37333333333334,1.0,0.5737333333333333
21,22.186499003887594,14.568080983476804,58.86666666666667,1.0,0.5886666666666666
22,22.692378463126023,14.023374106787834,60.52,1.0,0.6052
23,22.514331936851022,14.964510656425169,57.81333333333333,1.0,0.5781333333333333
24,22.646680497708598,15.740605997797948,55.61333333333333,1.0,0.5561333333333333
25,22.52441526729462,14.684544836242088,58.45333333333334,1.0,0.5845333333333333
26,22.909329133922753,14.561645685916966,58.85333333333334,1.0,0.5885333333333334
27,22.279836139575483,15.01826565500809,57.41333333333333,1.0,0.5741333333333334
28,22.482914595803553,15.017997124351034,57.79999999999998,1.0,0.5780000000000001
29,22.009140842977768,15.226485281644916,57.03999999999999,1.0,0.5703999999999999
