epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,1.5860763847827912,1.5583694887161255,34.06666666666667,0.3868,0.3406666666666666
1,1.5794892418384552,1.5593642067909241,34.88,0.3892000000000001,0.3488
2,1.5739488589763642,1.556008267402649,34.080000000000005,0.3808,0.34080000000000005
3,1.571338827610016,1.5479656732082367,33.29333333333334,0.3672000000000001,0.33293333333333325
4,1.5723116087913513,1.5563288676738738,33.18666666666667,0.3668,0.3318666666666666
5,1.5699740135669709,1.5534140992164611,34.01333333333334,0.374,0.34013333333333334
6,1.5683933460712434,1.5559817945957184,34.986666666666665,0.39080000000000004,0.3498666666666667
7,1.5667290484905243,1.5568744492530824,32.82666666666667,0.3620000000000001,0.3282666666666667
8,1.5673311722278596,1.5576032829284667,33.21333333333333,0.3655999999999999,0.3321333333333334
9,1.5651514887809754,1.5539443504810333,36.586666666666666,0.39880000000000004,0.36586666666666673
10,1.5645721006393432,1.5613407278060913,34.81333333333333,0.3839999999999999,0.34813333333333324
11,1.563446455001831,1.5609097635746003,34.56,0.3872,0.34559999999999996
12,1.5647551608085633,1.561758130788803,33.973333333333336,0.37479999999999997,0.3397333333333334
13,1.5606352043151857,1.551561484336853,36.48,0.4132,0.3648
14,1.558979071378708,1.5596430611610412,33.46666666666667,0.3692,0.3346666666666666
15,1.555049923658371,1.5625175547599792,33.0,0.36519999999999997,0.33
16,1.5587226831912995,1.5515228199958802,36.52,0.4092,0.3652
17,1.5584144628047942,1.5485280132293702,36.42666666666666,0.4,0.36426666666666674
18,1.5533927190303802,1.5501196944713593,35.38666666666666,0.3992000000000001,0.3538666666666666
19,1.5538396275043487,1.5528211879730225,34.2,0.37120000000000003,0.34199999999999997
20,1.5509279346466065,1.5555900263786315,33.946666666666665,0.3796,0.33946666666666664
21,1.559924762248993,1.5594732189178466,33.78666666666666,0.37879999999999997,0.3378666666666667
22,1.5537215614318847,1.5599440324306488,33.946666666666665,0.3768,0.33946666666666664
23,1.5531253719329834,1.5577706229686736,34.74666666666666,0.3828000000000001,0.3474666666666667
24,1.5541299510002136,1.5505118584632873,36.266666666666666,0.40080000000000005,0.3626666666666666
25,1.553536880016327,1.5525339674949645,34.16,0.38760000000000006,0.3416
26,1.5560024237632752,1.5523603582382202,35.94666666666667,0.4096000000000001,0.3594666666666667
27,1.5512625300884246,1.5582769632339477,35.973333333333336,0.39880000000000004,0.3597333333333333
28,1.5452670967578888,1.554552743434906,34.05333333333333,0.38400000000000006,0.34053333333333335
29,1.5487545907497406,1.5597110211849212,34.306666666666665,0.3828000000000001,0.3430666666666668
