epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,1.5914374089241028,1.5897149384021758,28.4,0.29279999999999995,0.28400000000000003
1,1.5890838861465455,1.589038244485855,28.94666666666667,0.3044,0.28946666666666665
2,1.5857096552848815,1.58825985789299,28.066666666666674,0.2936,0.28066666666666673
3,1.5841999125480652,1.587641611099243,30.97333333333334,0.3188,0.3097333333333333
4,1.5829904723167418,1.5851072156429291,30.78666666666667,0.3204,0.3078666666666667
5,1.5837193739414215,1.58451159119606,31.373333333333335,0.32600000000000007,0.31373333333333336
6,1.5845315098762511,1.584684100151062,31.48,0.33399999999999996,0.3148
7,1.582439968585968,1.5844837570190429,29.786666666666665,0.3044,0.29786666666666667
8,1.5814367139339447,1.5829799342155457,29.94666666666667,0.31,0.2994666666666667
9,1.5829671347141265,1.5838779723644256,30.45333333333333,0.314,0.3045333333333333
10,1.5806128036975862,1.5825765097141267,31.933333333333334,0.3308,0.31933333333333336
11,1.5813620007038116,1.5839603412151337,32.17333333333333,0.33520000000000005,0.3217333333333333
12,1.5813037145137787,1.5785622847080232,33.16,0.3436000000000001,0.3316000000000001
13,1.5790677654743195,1.580073881149292,32.946666666666665,0.3400000000000001,0.3294666666666668
14,1.5783464407920837,1.5845455348491668,30.546666666666667,0.3148,0.3054666666666667
15,1.5786828219890594,1.581427057981491,33.61333333333334,0.3495999999999999,0.3361333333333334
16,1.5774078047275544,1.582148507833481,32.026666666666664,0.3284,0.3202666666666667
17,1.57828706741333,1.5796412909030915,34.98666666666667,0.3628000000000002,0.3498666666666667
18,1.5790818047523498,1.5827484619617462,31.14666666666667,0.3236,0.31146666666666667
19,1.5773124170303345,1.5805053985118866,33.08,0.3352000000000001,0.33080000000000015
20,1.5776445245742798,1.5824435508251191,30.12,0.31279999999999997,0.3012
21,1.577119485139847,1.5779449486732482,32.96000000000001,0.32919999999999994,0.3296
22,1.5765727472305298,1.579231332540512,33.88,0.34320000000000006,0.3388000000000001
23,1.5773822712898253,1.5790136420726777,32.800000000000004,0.33680000000000004,0.3280000000000001
24,1.5784206509590148,1.576997857093811,33.14666666666667,0.34720000000000006,0.33146666666666674
25,1.576615287065506,1.5763602900505065,33.02666666666667,0.3416,0.33026666666666676
26,1.5768412399291991,1.576275041103363,33.01333333333333,0.34080000000000005,0.33013333333333333
27,1.5761851048469544,1.5772617495059966,33.69333333333334,0.34639999999999993,0.33693333333333336
28,1.576310577392578,1.5797614526748658,33.68,0.34080000000000005,0.3368
29,1.5747981894016265,1.5757955503463745,35.49333333333333,0.36440000000000006,0.35493333333333327
