epoch,train_loss,val_loss,val_acc,val_head_support_acc,val_head_query_acc
0,23.35251101447722,19.61434086680848,46.75999999999999,1.0,0.46759999999999996
1,23.47531555283688,20.061349386437723,45.54666666666667,1.0,0.4554666666666666
2,23.824080441778396,19.46206323924247,47.17333333333334,1.0,0.47173333333333334
3,23.37215974061478,19.781355038977644,46.30666666666666,1.0,0.4630666666666666
4,23.887938801725422,19.992578844956302,45.73333333333334,1.0,0.45733333333333326
5,23.588295728127814,19.75679413130571,46.37333333333333,1.0,0.46373333333333333
6,23.308301380667732,19.864862125062235,46.08,1.0,0.46079999999999993
7,23.32795010680528,20.125207746384756,45.37333333333333,1.0,0.4537333333333333
8,23.68653935881555,20.44941172765432,44.49333333333333,1.0,0.4449333333333334
9,23.79951953410645,19.68802358982429,46.56,1.0,0.46560000000000007
10,23.1609359346361,19.52592159918951,47.00000000000001,1.0,0.47
11,23.986182432413173,19.437502331570535,47.24,1.0,0.47239999999999993
12,23.750397718762574,19.80591594664958,46.24,1.0,0.46240000000000003
13,23.475315552836896,19.805915946649588,46.23999999999999,1.0,0.4624000000000001
14,23.61285663579974,19.717496679030614,46.48,1.0,0.46480000000000005
15,23.62759318040291,19.66346268215235,46.62666666666667,1.0,0.4662666666666667
16,23.71110026648749,19.496448509983185,47.08,1.0,0.47080000000000005
17,23.470403371302513,19.584867777602156,46.84000000000001,1.0,0.46840000000000004
18,23.136375026964178,19.604516503739706,46.78666666666667,1.0,0.46786666666666676
19,24.079513881566523,19.23119070712627,47.80000000000001,1.0,0.478
20,23.028307033207646,20.164505198659853,45.26666666666666,1.0,0.45266666666666666
21,23.84372916791593,20.10555902024721,45.42666666666668,1.0,0.4542666666666667
22,23.509700823577614,19.570131232998996,46.88,1.0,0.46879999999999994
23,23.6275931804029,19.791179402046424,46.28,1.0,0.4628000000000001
24,22.871117224107262,20.076085931040883,45.50666666666667,1.0,0.4550666666666667
25,23.544086094318317,19.697847952893063,46.53333333333334,1.0,0.4653333333333333
26,23.745485537228205,20.022051934162626,45.653333333333336,1.0,0.4565333333333333
27,23.676714995746774,19.46697542077686,47.15999999999999,1.0,0.4716
28,23.73074899262504,19.953281392681205,45.83999999999999,1.0,0.4584
29,23.092165393154676,19.958193574215592,45.82666666666666,1.0,0.45826666666666666
